cluster_id,assigned_orig_class,class_name,size,holdout_members
0,1,BruteForce,887,887
1,1,BruteForce,1196,1196
2,6,WebAttacks,1184,547
3,1,BruteForce,5932,628
4,0,Bots,168,168
5,6,WebAttacks,24,24
6,0,Bots,21,21
7,0,Bots,156,156
8,6,WebAttacks,9,9
9,0,Bots,19,19
10,0,Bots,564,23
11,0,Bots,18,18
12,0,Bots,18,18
13,0,Bots,11,11
14,0,Bots,14,14
15,6,WebAttacks,32,4
16,0,Bots,20,2
17,-2,UnknownAnomaly,331,0
18,-2,UnknownAnomaly,9,0
19,4,NormalTraffic,3816,0
20,4,NormalTraffic,1368,0
21,-2,UnknownAnomaly,1147,0
22,4,NormalTraffic,1103,0
23,-2,UnknownAnomaly,207,0
24,-2,UnknownAnomaly,959,0
25,-2,UnknownAnomaly,271,0
26,-2,UnknownAnomaly,1499,0
27,-2,UnknownAnomaly,104,0
28,-2,UnknownAnomaly,84,0
29,-2,UnknownAnomaly,135,0
30,-2,UnknownAnomaly,10,0
31,4,NormalTraffic,26,0
32,-2,UnknownAnomaly,90,0
33,-2,UnknownAnomaly,16,0
34,-2,UnknownAnomaly,12,0
35,4,NormalTraffic,197,0
36,-2,UnknownAnomaly,51,0
37,-2,UnknownAnomaly,16,0
38,4,NormalTraffic,53,0
39,-2,UnknownAnomaly,13,0
40,-2,UnknownAnomaly,15,0
41,-2,UnknownAnomaly,112,0
42,4,NormalTraffic,34,0
43,4,NormalTraffic,8,0
44,4,NormalTraffic,50,0
45,-2,UnknownAnomaly,257,0
46,-2,UnknownAnomaly,53,0
47,-2,UnknownAnomaly,10,0
48,-2,UnknownAnomaly,88,0
49,-2,UnknownAnomaly,72,0
50,4,NormalTraffic,70,0
51,-2,UnknownAnomaly,92,0
52,4,NormalTraffic,100,0
53,-2,UnknownAnomaly,202,0
54,4,NormalTraffic,128,0
55,-2,UnknownAnomaly,67,0
56,-2,UnknownAnomaly,122,0
57,-2,UnknownAnomaly,47,0
58,-2,UnknownAnomaly,524,0
59,4,NormalTraffic,461,0
60,4,NormalTraffic,198,0
61,-2,UnknownAnomaly,64,0
62,-2,UnknownAnomaly,23,0
63,-2,UnknownAnomaly,156,0
64,-2,UnknownAnomaly,132,0
65,-2,UnknownAnomaly,9,0
