epoch,step,lr,loss,train_acc,acc,gap,recall,precision,holdout
1,35,0.049997,0,0.9884,0.899184,0.0892156,0.943559,0.711562,0.0052524
2,70,0.0499879,0,0.99174,0.910008,0.0817322,0.954298,0.725681,0.0052524
3,105,0.0499728,0.194733,0.99668,0.91792,0.07876,0.969469,0.74322,0.0052524
4,140,0.0499517,0,0.99864,0.919194,0.0794465,0.970878,0.746823,0.0052524
5,175,0.0499245,0,0.99874,0.932208,0.0665323,0.974763,0.776617,0.0052524
6,210,0.0498913,0.158598,0.99892,0.923211,0.0757092,0.972148,0.755286,0.0052524
7,245,0.049852,0,0.99876,0.929402,0.0693585,0.974227,0.769103,0.0052524
8,280,0.0498068,0,0.9989,0.929148,0.0697524,0.9743,0.768735,0.0052524
9,315,0.0497556,0.148085,0.99876,0.929043,0.0697174,0.974542,0.768169,0.0052524
10,350,0.0496984,0,0.99884,0.923798,0.0750417,0.973023,0.757848,0.0052524
11,385,0.0496352,0,0.99878,0.931269,0.0675108,0.974762,0.77407,0.0052524
12,420,0.049566,0.148246,0.99896,0.926966,0.0719939,0.973736,0.76388,0.0052524
13,455,0.049491,0,0.99892,0.935123,0.0637971,0.975739,0.782647,0.0052524
14,490,0.04941,0,0.99888,0.930708,0.0681718,0.974508,0.773068,0.0052524
15,525,0.0493231,0.185923,0.99886,0.930105,0.0687553,0.974531,0.771927,0.0052524
16,560,0.0492303,0,0.99878,0.934016,0.0647644,0.975386,0.781649,0.0052524
17,595,0.0491317,0,0.99888,0.928942,0.0699385,0.974068,0.767434,0.0052524
18,630,0.0490272,0.158812,0.99886,0.926412,0.0724482,0.973404,0.761389,0.0052524
19,665,0.0489169,0,0.99882,0.9334,0.0654199,0.975245,0.779947,0.0052524
20,700,0.0488009,0.131862,0.99894,0.908688,0.0902522,0.968861,0.724864,0.0052524
21,735,0.0486791,0,0.99886,0.931522,0.0673382,0.974903,0.775312,0.0052524
22,770,0.0485516,0,0.99876,0.931068,0.0676915,0.974841,0.773775,0.0052524
23,805,0.0484184,0.126405,0.99894,0.893018,0.105922,0.964161,0.699517,0.0052524
24,840,0.0482795,0,0.99886,0.929718,0.0691421,0.974398,0.771021,0.0052524
25,875,0.048135,0,0.99884,0.933925,0.0649147,0.975446,0.78208,0.0052524
26,910,0.047985,0.153575,0.99874,0.932378,0.0663621,0.975612,0.776233,0.0052524
27,945,0.0478294,0,0.99898,0.931467,0.0675127,0.974849,0.773927,0.0052524
28,980,0.0476683,0,0.99898,0.926916,0.0720643,0.975462,0.766123,0.0052524
29,1015,0.0475017,0.146163,0.99872,0.934663,0.064057,0.975819,0.781229,0.0052524
30,1050,0.0473297,0,0.99882,0.932192,0.0666282,0.975087,0.776554,0.0052524
31,1085,0.0471523,0,0.99886,0.932879,0.065981,0.97541,0.77795,0.0052524
32,1120,0.0469695,0.116902,0.9989,0.913372,0.0855277,0.970232,0.734466,0.0052524
33,1155,0.0467815,0,0.99896,0.927409,0.0715512,0.973935,0.765319,0.0052524
34,1190,0.0465882,0,0.99892,0.934519,0.0644006,0.975752,0.78115,0.0052524
35,1225,0.0463897,0.157367,0.99882,0.932743,0.0660765,0.975241,0.776933,0.0052524
36,1260,0.046186,0,0.99878,0.933233,0.0655473,0.975224,0.779855,0.0052524
37,1295,0.0459773,0,0.99896,0.933234,0.065726,0.975429,0.7775,0.0052524
38,1330,0.0457635,0.132318,0.99894,0.933631,0.0653085,0.977229,0.780627,0.0052524
39,1365,0.0455447,0,0.99888,0.928589,0.0702907,0.974036,0.768541,0.0052524
40,1400,0.0453209,0.179627,0.99878,0.935966,0.0628142,0.977864,0.786856,0.0052524
41,1435,0.0450923,0,0.99892,0.931863,0.0670566,0.976846,0.777737,0.0052524
42,1470,0.0448588,0,0.99892,0.928038,0.0708824,0.973875,0.765633,0.0052524
43,1505,0.0446205,0.136685,0.99902,0.905362,0.0936582,0.967811,0.719836,0.0052524
44,1540,0.0443776,0,0.99892,0.932206,0.0667136,0.97495,0.776244,0.0052524
45,1575,0.0441299,0,0.99892,0.932995,0.0659253,0.975452,0.777136,0.0052524
46,1610,0.0438777,0.175342,0.99892,0.935322,0.0635976,0.97802,0.784652,0.0052524
47,1645,0.043621,0,0.99882,0.935664,0.063156,0.977969,0.785889,0.0052524
48,1680,0.0433597,0,0.99886,0.932677,0.066183,0.975142,0.778313,0.0052524
49,1715,0.0430941,0.131014,0.999,0.928349,0.0706514,0.973875,0.766123,0.0052524
50,1750,0.0428241,0,0.99878,0.93423,0.0645503,0.97562,0.781962,0.0052524
51,1785,0.0425499,0,0.99894,0.931396,0.0675445,0.975068,0.774786,0.0052524
52,1820,0.0422714,0.137055,0.99892,0.928884,0.0700356,0.974363,0.768118,0.0052524
53,1855,0.0419888,0,0.9988,0.929036,0.069764,0.974185,0.768082,0.0052524
54,1890,0.0417021,0,0.99878,0.934626,0.0641542,0.97566,0.782635,0.0052524
55,1925,0.0414115,0.143085,0.9989,0.931361,0.067539,0.974931,0.773636,0.0052524
56,1960,0.0411169,0,0.99868,0.936668,0.0620123,0.975459,0.788393,0.0052524
57,1995,0.0408184,0,0.99888,0.932607,0.0662735,0.975208,0.776613,0.0052524
58,2030,0.0405162,0.144383,0.99888,0.934316,0.064564,0.975785,0.781747,0.0052524
59,2065,0.0402103,0,0.99888,0.933988,0.0648923,0.975668,0.781275,0.0052524
60,2100,0.0399007,0.140927,0.9989,0.933504,0.0653961,0.97552,0.779279,0.0052524
61,2135,0.0395876,0,0.99882,0.932517,0.0663025,0.975348,0.776464,0.0052524
62,2170,0.039271,0,0.9987,0.93249,0.0662104,0.975203,0.77731,0.0052524
63,2205,0.0389511,0.148366,0.99878,0.933634,0.0651459,0.975583,0.779941,0.0052524
64,2240,0.0386278,0,0.99886,0.935463,0.0633967,0.976061,0.784697,0.0052524
65,2275,0.0383012,0,0.99882,0.933388,0.0654318,0.975456,0.779083,0.0052524
66,2310,0.0379715,0.1232,0.99884,0.93337,0.0654704,0.975567,0.77916,0.0052524
67,2345,0.0376387,0,0.99886,0.929565,0.069295,0.97444,0.768797,0.0052524
68,2380,0.037303,0,0.99878,0.934711,0.0640692,0.975759,0.78373,0.0052524
69,2415,0.0369643,0.115676,0.99886,0.93189,0.06697,0.975116,0.774852,0.0052524
70,2450,0.0366228,0,0.99882,0.933839,0.0649812,0.975645,0.779969,0.0052524
71,2485,0.0362785,0,0.99894,0.931735,0.0672055,0.97689,0.776746,0.0052524
72,2520,0.0359316,0.148752,0.99896,0.929515,0.0694455,0.974402,0.768806,0.0052524
73,2555,0.0355821,0,0.99896,0.911247,0.0877133,0.969615,0.728658,0.0052524
74,2590,0.0352301,0,0.99882,0.931777,0.0670429,0.975,0.775751,0.0052524
75,2625,0.0348757,0.147927,0.99898,0.933113,0.0658669,0.975309,0.778763,0.0052524
76,2660,0.0345191,0,0.99886,0.934321,0.0645386,0.975758,0.782246,0.0052524
77,2695,0.0341601,0,0.99892,0.928559,0.0703613,0.974262,0.767293,0.0052524
78,2730,0.0337991,0.11177,0.9988,0.934337,0.0644627,0.975758,0.781185,0.0052524
79,2765,0.033436,0,0.99886,0.930266,0.0685945,0.974453,0.772139,0.0052524
80,2800,0.0330709,0.133348,0.99892,0.931284,0.0676362,0.974823,0.773257,0.0052524
81,2835,0.032704,0,0.99898,0.930734,0.0682465,0.974648,0.772584,0.0052524
82,2870,0.0323353,0,0.99874,0.932238,0.0665017,0.975049,0.775682,0.0052524
83,2905,0.0319649,0.145775,0.99884,0.933972,0.0648682,0.975442,0.781493,0.0052524
84,2940,0.0315929,0,0.99886,0.931651,0.0672092,0.975005,0.775191,0.0052524
85,2975,0.0312194,0,0.99886,0.93009,0.0687699,0.974599,0.770845,0.0052524
86,3010,0.0308445,0.161466,0.99874,0.93442,0.0643203,0.975691,0.782807,0.0052524
