class_a,class_b,epoch,train_errors,n_train,val_errors,n_val
0,1,1,206,6195,2,1549
0,1,2,76,6195,3,1549
0,1,3,32,6195,3,1549
0,1,4,28,6195,4,1549
0,1,5,32,6195,1,1549
0,1,6,24,6195,3,1549
0,1,7,30,6195,3,1549
0,1,8,32,6195,1,1549
0,1,9,24,6195,3,1549
0,1,10,36,6195,3,1549
0,1,11,42,6195,3,1549
0,1,12,34,6195,3,1549
0,1,13,24,6195,3,1549
0,1,14,30,6195,3,1549
0,1,15,42,6195,8,1549
0,1,16,98,6195,20,1549
0,1,17,146,6195,23,1549
0,1,18,162,6195,24,1549
0,1,19,150,6195,23,1549
0,1,20,132,6195,22,1549
0,2,1,78,8000,0,2000
0,2,2,6,8000,2,2000
0,2,3,20,8000,2,2000
0,2,4,16,8000,2,2000
0,2,5,16,8000,2,2000
0,2,6,14,8000,2,2000
0,2,7,14,8000,2,2000
0,2,8,14,8000,2,2000
0,2,9,14,8000,2,2000
0,2,10,10,8000,2,2000
0,2,11,10,8000,2,2000
0,2,12,10,8000,2,2000
0,2,13,10,8000,2,2000
0,2,14,10,8000,2,2000
0,2,15,10,8000,1,2000
0,2,16,10,8000,0,2000
0,3,1,71,8000,3,2000
0,3,2,24,8000,0,2000
0,3,3,23,8000,30,2000
0,3,4,27,8000,0,2000
0,3,5,26,8000,3,2000
0,3,6,30,8000,3,2000
0,3,7,26,8000,1,2000
0,3,8,16,8000,1,2000
0,3,9,16,8000,1,2000
0,3,10,16,8000,1,2000
0,3,11,16,8000,1,2000
0,3,12,16,8000,1,2000
0,3,13,10,8000,1,2000
0,3,14,4,8000,0,2000
0,3,15,2,8000,0,2000
0,3,16,2,8000,0,2000
0,3,17,2,8000,0,2000
0,4,1,25,8000,1,2000
0,4,2,24,8000,1,2000
0,4,3,24,8000,1,2000
0,4,4,24,8000,3,2000
0,4,5,24,8000,3,2000
0,4,6,24,8000,15,2000
0,4,7,22,8000,14,2000
0,4,8,22,8000,27,2000
0,4,9,22,8000,12,2000
0,4,10,24,8000,39,2000
0,4,11,22,8000,53,2000
0,4,12,20,8000,62,2000
0,4,13,20,8000,57,2000
0,4,14,18,8000,49,2000
0,4,15,21,8000,1,2000
0,4,16,22,8000,1,2000
0,5,1,236,8000,42,2000
0,5,2,222,8000,42,2000
0,5,3,226,8000,37,2000
0,5,4,225,8000,42,2000
0,5,5,218,8000,42,2000
0,5,6,227,8000,42,2000
0,5,7,220,8000,42,2000
0,5,8,218,8000,42,2000
0,5,9,221,8000,42,2000
0,5,10,216,8000,42,2000
0,5,11,216,8000,37,2000
0,5,12,221,8000,42,2000
0,5,13,218,8000,42,2000
0,5,14,216,8000,42,2000
0,5,15,225,8000,42,2000
0,5,16,214,8000,42,2000
