epoch,lr,train_loss,val_acc,val_macro_f1,elapsed_s,epoch_ms
1,0.05,3,0,0,0.000253642,0.235669
2,0.049997,1.75499,0,0,0.000431313,0.173613
3,0.0499879,1.41259,0,0,0.000591492,0.158656
4,0.0499728,1.16981,0,0,0.000782738,0.188221
5,0.0499517,1.059,0,0,0.00098269,0.196005
6,0.0499245,0.73484,0,0,0.00122594,0.239576
7,0.0498913,0.803537,0,0,0.00142498,0.195454
8,0.049852,0.746134,0,0,0.00165031,0.222534
9,0.0498068,0.524937,0,0,0.00190396,0.250517
10,0.0497556,0.513739,0.846699,0.827045,0.101914,99.999
11,0.0496984,0.662904,0,0,0.102255,0.330596
12,0.0496352,0.535256,0,0,0.102592,0.331568
13,0.049566,0.528687,0,0,0.10308,0.478512
14,0.049491,0.439339,0,0,0.103402,0.317011
15,0.04941,0.440354,0,0,0.103672,0.266166
16,0.0493231,0.312284,0,0,0.103974,0.298536
17,0.0492303,0.520663,0,0,0.104321,0.34352
18,0.0491317,0.417297,0,0,0.104627,0.303095
19,0.0490272,0.404221,0,0,0.105029,0.398483
20,0.0489169,0.406512,0.892835,0.8873,0.199919,94.8792
21,0.0488009,0.301023,0,0,0.2002,0.271887
22,0.0486791,0.455794,0,0,0.20044,0.234186
23,0.0485516,0.303672,0,0,0.200685,0.239346
24,0.0484184,0.406414,0,0,0.200913,0.224027
25,0.0482795,0.285824,0,0,0.201102,0.186879
26,0.048135,0.290203,0,0,0.201277,0.173874
27,0.047985,0.344495,0,0,0.201492,0.213328
28,0.0478294,0.476721,0,0,0.201669,0.174996
29,0.0476683,0.350014,0,0,0.201853,0.18275
30,0.0475017,0.341073,0.928811,0.92462,0.297946,96.084
31,0.0473297,0.305712,0,0,0.298271,0.31709
32,0.0471523,0.267371,0,0,0.298544,0.270213
33,0.0469695,0.208784,0,0,0.298793,0.245998
34,0.0467815,0.268383,0,0,0.299005,0.20966
35,0.0465882,0.329597,0,0,0.299214,0.207326
36,0.0463897,0.195074,0,0,0.299426,0.209871
37,0.046186,0.307365,0,0,0.299629,0.200253
38,0.0459773,0.236691,0,0,0.299843,0.211985
39,0.0457635,0.238661,0,0,0.300042,0.197207
40,0.0455447,0.236775,0.916829,0.910405,0.398947,98.8958
41,0.0453209,0.199468,0,0,0.399186,0.233766
42,0.0450923,0.243661,0,0,0.399397,0.20912
43,0.0448588,0.21166,0,0,0.399584,0.183151
44,0.0446205,0.199576,0,0,0.399779,0.19322
45,0.0443776,0.227255,0,0,0.400002,0.220441
46,0.0441299,0.243273,0,0,0.400239,0.233264
47,0.0438777,0.270711,0,0,0.400483,0.240759
48,0.043621,0.192409,0,0,0.4007,0.215401
49,0.0433597,0.204524,0,0,0.400915,0.212215
50,0.0430941,0.318013,0.934615,0.927217,0.504761,103.836
51,0.0428241,0.210247,0,0,0.505051,0.283919
52,0.0425499,0.208746,0,0,0.505305,0.251229
53,0.0422714,0.236734,0,0,0.505569,0.261978
54,0.0419888,0.243249,0,0,0.506169,0.594427
55,0.0417021,0.152069,0,0,0.506426,0.254665
56,0.0414115,0.190426,0,0,0.506726,0.297334
57,0.0411169,0.180682,0,0,0.507038,0.309125
58,0.0408184,0.264036,0,0,0.507336,0.29545
59,0.0405162,0.185873,0,0,0.50766,0.320698
60,0.0402103,0.250481,0.931679,0.926065,0.607566,99.8982
61,0.0399007,0.201059,0,0,0.607821,0.249234
62,0.0395876,0.169847,0,0,0.608002,0.178713
63,0.039271,0.195718,0,0,0.608172,0.168163
64,0.0389511,0.192521,0,0,0.608334,0.160439
65,0.0386278,0.171296,0,0,0.608491,0.156151
66,0.0383012,0.284661,0,0,0.608643,0.15013
67,0.0379715,0.370524,0,0,0.6088,0.15609
68,0.0376387,0.298517,0,0,0.60895,0.148677
69,0.037303,0.18584,0,0,0.6091,0.148297
70,0.0369643,0.247419,0.933783,0.928119,0.706298,97.1909
71,0.0366228,0.194547,0,0,0.706509,0.206034
72,0.0362785,0.188977,0,0,0.706675,0.165028
73,0.0359316,0.190939,0,0,0.70685,0.172932
74,0.0355821,0.133776,0,0,0.707001,0.149238
75,0.0352301,0.207719,0,0,0.707157,0.15555
76,0.0348757,0.229935,0,0,0.707312,0.153195
77,0.0345191,0.161423,0,0,0.707473,0.159006
78,0.0341601,0.216731,0,0,0.707616,0.142396
79,0.0337991,0.225098,0,0,0.707779,0.16103
80,0.033436,0.331772,0.935264,0.929567,0.805544,97.7552
81,0.0330709,0.149765,0,0,0.805835,0.282697
82,0.032704,0.209062,0,0,0.806548,0.708329
83,0.0323353,0.169058,0,0,0.806925,0.372013
84,0.0319649,0.211236,0,0,0.807169,0.240599
85,0.0315929,0.175111,0,0,0.807385,0.213578
86,0.0312194,0.222647,0,0,0.807583,0.196285
87,0.0308445,0.184631,0,0,0.807946,0.35994
88,0.0304683,0.237179,0,0,0.808163,0.212697
89,0.0300908,0.19102,0,0,0.808369,0.2043
90,0.0297123,0.287115,0.937751,0.931946,0.908214,99.8375
91,0.0293326,0.192056,0,0,0.90845,0.230639
92,0.0289521,0.210942,0,0,0.908754,0.299067
