class_a,class_b,epoch,train_errors,n_train,val_errors,n_val
0,1,1,56,687,4,172
0,1,2,20,687,0,172
0,1,3,4,687,0,172
0,1,4,0,687,0,172
0,1,5,0,687,0,172
0,1,6,0,687,0,172
0,1,7,0,687,0,172
0,1,8,0,687,0,172
0,1,9,0,687,0,172
0,1,10,0,687,0,172
0,1,11,0,687,0,172
0,1,12,0,687,0,172
0,1,13,0,687,0,172
0,1,14,0,687,0,172
0,1,15,0,687,0,172
0,1,16,0,687,0,172
0,1,17,0,687,0,172
0,2,1,76,8000,1,2000
0,2,2,16,8000,5,2000
0,2,3,20,8000,5,2000
0,2,4,22,8000,5,2000
0,2,5,20,8000,5,2000
0,2,6,20,8000,5,2000
0,2,7,20,8000,5,2000
0,2,8,18,8000,5,2000
0,2,9,10,8000,1,2000
0,2,10,4,8000,1,2000
0,2,11,2,8000,1,2000
0,2,12,2,8000,1,2000
0,2,13,2,8000,1,2000
0,2,14,2,8000,1,2000
0,2,15,2,8000,1,2000
0,2,16,2,8000,1,2000
0,3,1,63,8000,2,2000
0,3,2,14,8000,2,2000
0,3,3,14,8000,2,2000
0,3,4,14,8000,2,2000
0,3,5,22,8000,1,2000
0,3,6,8,8000,0,2000
0,3,7,0,8000,0,2000
0,3,8,0,8000,0,2000
0,3,9,0,8000,0,2000
0,3,10,0,8000,0,2000
0,3,11,0,8000,0,2000
0,3,12,0,8000,0,2000
0,3,13,0,8000,0,2000
0,3,14,0,8000,0,2000
0,3,15,0,8000,0,2000
0,3,16,0,8000,0,2000
0,3,17,0,8000,0,2000
0,3,18,0,8000,0,2000
0,3,19,0,8000,0,2000
0,3,20,0,8000,0,2000
0,3,21,0,8000,0,2000
0,4,1,21,8000,2,2000
0,4,2,20,8000,2,2000
0,4,3,21,8000,2,2000
0,4,4,20,8000,2,2000
0,4,5,20,8000,2,2000
0,4,6,20,8000,2,2000
0,4,7,20,8000,2,2000
0,4,8,20,8000,2,2000
0,4,9,20,8000,2,2000
0,4,10,20,8000,2,2000
0,4,11,20,8000,3,2000
0,4,12,20,8000,5,2000
0,4,13,20,8000,10,2000
0,4,14,21,8000,2,2000
0,4,15,20,8000,2,2000
0,4,16,20,8000,2,2000
0,5,1,166,5947,39,1487
0,5,2,170,5947,22,1487
0,5,3,159,5947,22,1487
0,5,4,152,5947,22,1487
0,5,5,162,5947,22,1487
0,5,6,163,5947,22,1487
0,5,7,158,5947,22,1487
0,5,8,154,5947,22,1487
0,5,9,159,5947,23,1487
0,5,10,160,5947,22,1487
0,5,11,152,5947,22,1487
0,5,12,156,5947,22,1487
0,5,13,161,5947,22,1487
0,5,14,156,5947,22,1487
0,5,15,156,5947,22,1487
0,5,16,155,5947,23,1487
0,5,17,158,5947,19,1487
0,5,18,148,5947,22,1487
0,5,19,161,5947,23,1487
0,5,20,160,5947,22,1487
0,5,21,158,5947,22,1487
0,5,22,152,5947,22,1487
0,5,23,152,5947,22,1487
0,5,24,159,5947,22,1487
0,5,25,154,5947,22,1487
0,5,26,150,5947,22,1487
0,5,27,159,5947,23,1487
0,5,28,158,5947,22,1487
0,5,29,152,5947,22,1487
0,5,30,154,5947,22,1487
0,5,31,152,5947,22,1487
0,5,32,148,5947,25,1487
0,6,1,36,246,22,62
0,6,2,30,246,3,62
0,6,3,24,246,3,62
0,6,4,23,246,23,62
0,6,5,12,246,23,62
0,6,6,18,246,23,62
0,6,7,16,246,23,62
0,6,8,20,246,23,62
0,6,9,30,246,23,62
0,6,10,24,246,23,62
0,6,11,12,246,23,62
0,6,12,12,246,23,62
0,6,13,14,246,23,62
0,6,14,19,246,4,62
0,6,15,15,246,23,62
0,6,16,14,246,23,62
0,6,17,11,246,3,62
1,2,1,255,8000,32,2000
1,2,2,224,8000,33,2000
1,2,3,216,8000,45,2000
1,2,4,202,8000,32,2000
1,2,5,224,8000,32,2000
1,2,6,162,8000,32,2000
1,2,7,186,8000,60,2000
1,2,8,90,8000,19,2000
1,2,9,68,8000,20,2000
1,2,10,68,8000,21,2000
1,2,11,70,8000,14,2000
1,2,12,66,8000,16,2000
1,2,13,66,8000,17,2000
1,2,14,66,8000,17,2000
1,2,15,66,8000,19,2000
1,2,16,68,8000,20,2000
1,2,17,68,8000,21,2000
1,2,18,70,8000,13,2000
1,2,19,66,8000,15,2000
1,2,20,66,8000,17,2000
1,2,21,66,8000,17,2000
1,2,22,66,8000,19,2000
