mpicxx -O2 -std=c++20 -o bin/mpi_ids src/mpi_ids.cpp -lm
Built: mpi_ids
=== Network IDS: MPI (2 processes) ===
Train: 100000 | Test: 50000 | Features: 52 | Classes: 7
  SVM(0v1) Epoch 1/200 | Errors: 85/443
  SVM(0v1) Epoch 2/200 | Errors: 52/443
  SVM(0v1) Epoch 3/200 | Errors: 21/443
  SVM(0v1) Epoch 4/200 | Errors: 4/443
  SVM(0v1) Epoch 1/200 | Errors: 85/443
  SVM(0v1) Epoch 5/200 | Errors: 4/443
  SVM(0v1) Epoch 2/200 | Errors: 52/443
  SVM(0v1) Epoch 6/200 | Errors: 4/443
  SVM(0v1) Epoch 3/200 | Errors: 21/443
  SVM(0v1) Epoch 7/200 | Errors: 10/443
  SVM(0v1) Epoch 4/200 | Errors: 4/443
  SVM(0v1) Epoch 8/200 | Errors: 10/443
  SVM(0v1) Epoch 5/200 | Errors: 4/443
  SVM(0v1) Epoch 9/200 | Errors: 16/443
  SVM(0v1) Epoch 10/200 | Errors: 14/443
  SVM(0v1) Epoch 6/200 | Errors: 4/443
  SVM(0v1) Epoch 11/200 | Errors: 12/443
  SVM(0v1) Epoch 7/200 | Errors: 10/443
  SVM(0v1) Epoch 8/200 | Errors: 10/443
  SVM(0v1) Epoch 12/200 | Errors: 12/443
  SVM(0v1) Epoch 9/200 | Errors: 16/443
  SVM(0v1) Epoch 13/200 | Errors: 12/443
  SVM(0v1) Epoch 10/200 | Errors: 14/443
  SVM(0v1) Epoch 14/200 | Errors: 4/443
  SVM(0v1) Epoch 11/200 | Errors: 12/443
  SVM(0v1) Epoch 15/200 | Errors: 4/443
  SVM(0v1) Epoch 12/200 | Errors: 12/443
  SVM(0v1) Epoch 16/200 | Errors: 4/443
  SVM(0v1) Epoch 13/200 | Errors: 12/443
  SVM(0v1) Epoch 17/200 | Errors: 4/443
  SVM(0v1) Epoch 14/200 | Errors: 4/443
  SVM(0v1) Epoch 18/200 | Errors: 4/443
  SVM(0v1) Epoch 15/200 | Errors: 4/443
  SVM(0v1) Epoch 19/200 | Errors: 4/443
  SVM(0v1) Epoch 16/200 | Errors: 4/443
  SVM(0v1) Epoch 20/200 | Errors: 4/443
  SVM(0v1) Epoch 17/200 | Errors: 4/443
  SVM(0v1) Epoch 21/200 | Errors: 10/443
  SVM(0v1) Epoch 18/200 | Errors: 4/443
  SVM(0v1) Epoch 22/200 | Errors: 10/443
  SVM(0v1) Epoch 19/200 | Errors: 4/443
  SVM(0v1) Epoch 23/200 | Errors: 8/443
  SVM(0v1) Epoch 20/200 | Errors: 4/443
  SVM(0v1) Epoch 24/200 | Errors: 8/443
  SVM(0v1) Epoch 21/200 | Errors: 10/443
  SVM(0v1) Epoch 25/200 | Errors: 12/443
  SVM(0v1) Epoch 22/200 | Errors: 10/443
  SVM(0v1) Epoch 26/200 | Errors: 4/443
  SVM(0v1) Epoch 23/200 | Errors: 8/443
  SVM(0v1) Epoch 27/200 | Errors: 4/443
  SVM(0v1) Epoch 24/200 | Errors: 8/443
  SVM(0v1) Epoch 28/200 | Errors: 4/443
  SVM(0v1) Epoch 25/200 | Errors: 12/443
  SVM(0v1) Epoch 29/200 | Errors: 4/443
  SVM(0v1) Epoch 26/200 | Errors: 4/443
  SVM(0v1) Epoch 30/200 | Errors: 4/443
  SVM(0v1) Epoch 27/200 | Errors: 4/443
  SVM(0v1) Epoch 31/200 | Errors: 4/443
  SVM(0v1) Epoch 28/200 | Errors: 4/443
  SVM(0v1) Epoch 32/200 | Errors: 4/443
  SVM(0v1) Epoch 29/200 | Errors: 4/443
  SVM(0v1) Epoch 33/200 | Errors: 4/443
  SVM(0v1) Epoch 30/200 | Errors: 4/443
  SVM(0v1) Epoch 34/200 | Errors: 4/443
  SVM(0v1) Epoch 31/200 | Errors: 4/443
  SVM(0v1) Epoch 35/200 | Errors: 4/443
  SVM(0v1) Epoch 32/200 | Errors: 4/443
  SVM(0v1) Epoch 36/200 | Errors: 4/443
  SVM(0v1) Epoch 33/200 | Errors: 4/443
  SVM(0v1) Epoch 37/200 | Errors: 6/443
  SVM(0v1) Epoch 34/200 | Errors: 4/443
  SVM(0v1) Epoch 38/200 | Errors: 8/443
  SVM(0v1) Epoch 35/200 | Errors: 4/443
  SVM(0v1) Epoch 39/200 | Errors: 8/443
  SVM(0v1) Epoch 36/200 | Errors: 4/443
  SVM(0v1) Epoch 40/200 | Errors: 4/443
  SVM(0v1) Epoch 37/200 | Errors: 6/443
  SVM(0v1) Epoch 41/200 | Errors: 4/443
  SVM(0v1) Epoch 38/200 | Errors: 8/443
  SVM(0v1) Epoch 42/200 | Errors: 4/443
  SVM(0v1) Epoch 39/200 | Errors: 8/443
  SVM(0v1) Epoch 43/200 | Errors: 4/443
  SVM(0v1) Epoch 40/200 | Errors: 4/443
  SVM(0v1) Epoch 44/200 | Errors: 4/443
  SVM(0v1) Epoch 41/200 | Errors: 4/443
  SVM(0v1) Epoch 45/200 | Errors: 4/443
  SVM(0v1) Epoch 42/200 | Errors: 4/443
  SVM(0v1) Epoch 46/200 | Errors: 4/443
  SVM(0v1) Epoch 43/200 | Errors: 4/443
  SVM(0v1) Epoch 47/200 | Errors: 4/443
  SVM(0v1) Epoch 44/200 | Errors: 4/443
  SVM(0v1) Epoch 48/200 | Errors: 4/443
  SVM(0v1) Epoch 45/200 | Errors: 4/443
  SVM(0v1) Epoch 49/200 | Errors: 4/443
  SVM(0v1) Epoch 46/200 | Errors: 4/443
  SVM(0v1) Epoch 50/200 | Errors: 4/443
  SVM(0v1) Epoch 47/200 | Errors: 4/443
  SVM(0v1) Epoch 51/200 | Errors: 4/443
  SVM(0v1) Epoch 48/200 | Errors: 4/443
  SVM(0v1) Epoch 52/200 | Errors: 4/443
  SVM(0v1) Epoch 49/200 | Errors: 4/443
  SVM(0v1) Epoch 53/200 | Errors: 4/443
  SVM(0v1) Epoch 50/200 | Errors: 4/443
  SVM(0v1) Epoch 54/200 | Errors: 6/443
  SVM(0v1) Epoch 51/200 | Errors: 4/443
  SVM(0v1) Epoch 55/200 | Errors: 4/443
  SVM(0v1) Epoch 52/200 | Errors: 4/443
  SVM(0v1) Epoch 56/200 | Errors: 4/443
  SVM(0v1) Epoch 53/200 | Errors: 4/443
  SVM(0v1) Epoch 57/200 | Errors: 4/443
  SVM(0v1) Epoch 54/200 | Errors: 6/443
  SVM(0v1) Epoch 58/200 | Errors: 4/443
  SVM(0v1) Epoch 55/200 | Errors: 4/443
  SVM(0v1) Epoch 59/200 | Errors: 4/443
  SVM(0v1) Epoch 56/200 | Errors: 4/443
  SVM(0v1) Epoch 60/200 | Errors: 4/443
  SVM(0v1) Epoch 57/200 | Errors: 4/443
  SVM(0v1) Epoch 61/200 | Errors: 4/443
  SVM(0v1) Epoch 58/200 | Errors: 4/443
  SVM(0v1) Epoch 62/200 | Errors: 13/443
  SVM(0v1) Epoch 59/200 | Errors: 4/443
  SVM(0v1) Epoch 63/200 | Errors: 14/443
