mpicxx -O2 -std=c++20 -o bin/mpi_ids src/mpi_ids.cpp -lm
Built: mpi_ids
=== Network IDS: MPI (4 processes) ===
Train: 200000 | Test: 100000 | Features: 52 | Classes: 7
  SVM(0v1) Epoch 1/200 | Train Errors: 56/687 | Val Errors: 4/172
  SVM(0v1) Epoch 2/200 | Train Errors: 20/687 | Val Errors: 0/172
  SVM(0v1) Epoch 3/200 | Train Errors: 4/687 | Val Errors: 0/172
  SVM(0v1) Epoch 4/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 5/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 1/200 | Train Errors: 56/687 | Val Errors: 4/172
  SVM(0v1) Epoch 1/200 | Train Errors: 56/687 | Val Errors: 4/172
  SVM(0v1) Epoch 1/200 | Train Errors: 56/687 | Val Errors: 4/172
  SVM(0v1) Epoch 6/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 2/200 | Train Errors: 20/687 | Val Errors: 0/172
  SVM(0v1) Epoch 2/200 | Train Errors: 20/687 | Val Errors: 0/172
  SVM(0v1) Epoch 2/200 | Train Errors: 20/687 | Val Errors: 0/172
  SVM(0v1) Epoch 7/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 3/200 | Train Errors: 4/687 | Val Errors: 0/172
  SVM(0v1) Epoch 3/200 | Train Errors: 4/687 | Val Errors: 0/172
  SVM(0v1) Epoch 3/200 | Train Errors: 4/687 | Val Errors: 0/172
  SVM(0v1) Epoch 8/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 4/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 4/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 4/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 9/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 5/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 5/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 5/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 10/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 6/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 6/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 6/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 11/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 7/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 7/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 7/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 12/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 8/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 8/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 8/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 13/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 9/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 9/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 9/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 14/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 10/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 10/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 10/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 15/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 11/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 11/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 11/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 16/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 12/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 12/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 12/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 17/200 | Train Errors: 0/687 | Val Errors: 0/172
  Early stopping at epoch 17 (best val errors=0)
  SVM(0v1) Epoch 13/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 13/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 13/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 14/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 14/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 14/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 15/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 15/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 15/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 16/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 16/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 16/200 | Train Errors: 0/687 | Val Errors: 0/172
  SVM(0v1) Epoch 17/200 | Train Errors: 0/687 | Val Errors: 0/172
  Early stopping at epoch 17 (best val errors=0)
  SVM(0v1) Epoch 17/200 | Train Errors: 0/687 | Val Errors: 0/172
  Early stopping at epoch 17 (best val errors=0)
  SVM(0v1) Epoch 17/200 | Train Errors: 0/687 | Val Errors: 0/172
  Early stopping at epoch 17 (best val errors=0)
  SVM(0v2) Epoch 1/200 | Train Errors: 76/8000 | Val Errors: 1/2000
  SVM(0v2) Epoch 2/200 | Train Errors: 16/8000 | Val Errors: 5/2000
  SVM(0v2) Epoch 3/200 | Train Errors: 20/8000 | Val Errors: 5/2000
  SVM(0v2) Epoch 4/200 | Train Errors: 22/8000 | Val Errors: 5/2000
  SVM(0v2) Epoch 5/200 | Train Errors: 20/8000 | Val Errors: 5/2000
  SVM(0v2) Epoch 6/200 | Train Errors: 20/8000 | Val Errors: 5/2000
