epoch,lr,train_loss,val_acc,val_macro_f1,elapsed_s,epoch_ms
1,0.05,3,0,0,0.00662886,5.12706
2,0.049997,1.75481,0,0,0.0141147,4.78027
3,0.0499879,1.22868,0,0,0.0298522,10.1349
4,0.0499728,1.03048,0,0,0.0446696,9.18267
5,0.0499517,0.972805,0,0,0.0537337,7.24924
6,0.0499245,0.826046,0,0,0.0596099,4.13536
7,0.0498913,0.770496,0,0,0.0665439,5.06157
8,0.049852,0.741084,0,0,0.0776087,8.4777
9,0.0498068,0.67665,0,0,0.0886794,7.18978
10,0.0497556,0.638726,0.820746,0.795777,0.113724,21.3816
11,0.0496984,0.594995,0,0,0.119611,4.12455
12,0.0496352,0.556466,0,0,0.128604,7.12403
13,0.049566,0.481764,0,0,0.134617,3.1909
14,0.049491,0.483025,0,0,0.140661,3.03249
15,0.04941,0.530982,0,0,0.146611,3.68157
16,0.0493231,0.536887,0,0,0.153591,5.11026
17,0.0492303,0.413457,0,0,0.160237,4.76369
18,0.0491317,0.395731,0,0,0.165631,3.48168
19,0.0490272,0.395215,0,0,0.171585,4.1101
20,0.0489169,0.367258,0.898928,0.893202,0.200787,26.8128
21,0.0488009,0.353437,0,0,0.210647,6.17126
22,0.0486791,0.338121,0,0,0.218264,4.49974
23,0.0485516,0.334586,0,0,0.223586,4.10709
24,0.0484184,0.30155,0,0,0.229576,4.02675
25,0.0482795,0.323255,0,0,0.235581,4.10846
26,0.048135,0.303942,0,0,0.243671,7.11055
27,0.047985,0.306239,0,0,0.249619,4.13511
28,0.0478294,0.302645,0,0,0.255631,4.16118
29,0.0476683,0.260057,0,0,0.271075,8.59794
30,0.0475017,0.272504,0.923216,0.91863,0.302813,30.3439
31,0.0473297,0.268916,0,0,0.307653,4.16848
32,0.0471523,0.28656,0,0,0.315619,3.0912
33,0.0469695,0.262361,0,0,0.332655,10.1514
34,0.0467815,0.254187,0,0,0.343697,8.22848
35,0.0465882,0.25325,0,0,0.350593,5.11609
36,0.0463897,0.251697,0,0,0.356595,4.11682
37,0.046186,0.2533,0,0,0.36297,4.49285
38,0.0459773,0.260727,0,0,0.368671,4.19488
39,0.0457635,0.242016,0,0,0.37958,6.10212
40,0.0455447,0.249136,0.915615,0.911282,0.413535,32.0612
41,0.0453209,0.236098,0,0,0.423625,7.12137
42,0.0450923,0.245504,0,0,0.433985,6.4975
43,0.0448588,0.234441,0,0,0.445589,8.11011
44,0.0446205,0.223011,0,0,0.459726,12.198
45,0.0443776,0.237936,0,0,0.475657,10.16
46,0.0441299,0.245774,0,0,0.484567,4.07846
47,0.0438777,0.227846,0,0,0.494221,7.73384
48,0.043621,0.245165,0,0,0.501632,4.14926
49,0.0433597,0.219879,0,0,0.506614,3.50079
50,0.0430941,0.231737,0.928771,0.9229,0.531907,23.4347
51,0.0428241,0.205294,0,0,0.544598,9.12084
52,0.0425499,0.206146,0,0,0.555582,8.11164
53,0.0422714,0.235438,0,0,0.567607,8.1339
54,0.0419888,0.207811,0,0,0.579584,8.10857
55,0.0417021,0.208304,0,0,0.587591,4.11462
56,0.0414115,0.238239,0,0,0.599708,10.035
57,0.0411169,0.215623,0,0,0.606577,3.10638
58,0.0408184,0.222531,0,0,0.612621,4.14683
59,0.0405162,0.209508,0,0,0.618281,2.80768
60,0.0402103,0.212949,0.930617,0.924375,0.645007,25.5315
61,0.0399007,0.218458,0,0,0.657662,7.18509
62,0.0395876,0.20273,0,0,0.664241,4.43427
63,0.039271,0.203075,0,0,0.673579,7.10404
64,0.0389511,0.201804,0,0,0.682667,4.1848
65,0.0386278,0.213612,0,0,0.689617,5.13324
66,0.0383012,0.221417,0,0,0.698164,5.00153
67,0.0379715,0.195851,0,0,0.706586,7.11325
68,0.0376387,0.192301,0,0,0.715441,6.85276
69,0.037303,0.20162,0,0,0.724664,6.27264
70,0.0369643,0.194588,0.93395,0.927351,0.777039,44.5497
71,0.0366228,0.195881,0,0,0.788555,6.39125
72,0.0362785,0.193987,0,0,0.799656,6.16546
73,0.0359316,0.189632,0,0,0.806589,3.77055
74,0.0355821,0.191161,0,0,0.813518,6.01849
75,0.0352301,0.191529,0,0,0.819582,4.11217
76,0.0348757,0.193701,0,0,0.825589,4.10959
77,0.0345191,0.190024,0,0,0.833647,5.58509
78,0.0341601,0.182744,0,0,0.843623,7.78775
79,0.0337991,0.195506,0,0,0.854656,5.18009
80,0.033436,0.210626,0.9337,0.927062,0.883029,26.159
81,0.0330709,0.18756,0,0,0.894024,6.54308
82,0.032704,0.185982,0,0,0.903615,8.13406
83,0.0323353,0.194863,0,0,0.913611,6.3276
84,0.0319649,0.194555,0,0,0.923628,5.37972
85,0.0315929,0.182113,0,0,0.941592,10.1653
86,0.0312194,0.198261,0,0,0.958613,12.0871
87,0.0308445,0.18522,0,0,0.964603,4.11384
88,0.0304683,0.185001,0,0,0.972601,5.17285
89,0.0300908,0.186109,0,0,0.978585,4.08735
90,0.0297123,0.207671,0.934432,0.927736,1.00469,24.1433
91,0.0293326,0.187554,0,0,1.0106,4.12447
92,0.0289521,0.199524,0,0,1.01884,5.37221
93,0.0285707,0.191174,0,0,1.0246,4.10858
94,0.0281885,0.194255,0,0,1.03162,4.44361
95,0.0278057,0.198829,0,0,1.04185,8.27159
96,0.0274222,0.188991,0,0,1.05463,7.4278
97,0.0270384,0.202715,0,0,1.06066,4.18446
98,0.0266541,0.185761,0,0,1.06664,4.16447
99,0.0262696,0.196266,0,0,1.07259,3.99202
100,0.0258848,0.20209,0.934994,0.928164,1.10683,32.3586
101,0.0255,0.192462,0,0,1.11461,4.53421
102,0.0251152,0.202889,0,0,1.1285,10.0345
103,0.0247304,0.196566,0,0,1.13665,5.16518
104,0.0243459,0.189174,0,0,1.14265,4.05861
105,0.0239616,0.200647,0,0,1.14858,4.05029
106,0.0235778,0.193052,0,0,1.15855,5.69106
107,0.0231943,0.184568,0,0,1.16561,4.07476
108,0.0228115,0.19318,0,0,1.17256,5.08601
109,0.0224293,0.188032,0,0,1.17959,6.1123
110,0.0220479,0.171564,0.934902,0.928044,1.2066,25.1304
111,0.0216674,0.196918,0,0,1.21766,7.18011
112,0.0212877,0.175697,0,0,1.22361,3.95379
113,0.0209092,0.188708,0,0,1.23252,7.04435
114,0.0205317,0.18762,0,0,1.24565,7.55999
115,0.0201555,0.179085,0,0,1.25451,5.92821
116,0.0197806,0.18276,0,0,1.26558,5.10062
117,0.0194071,0.190708,0,0,1.27358,5.10287
118,0.0190351,0.176954,0,0,1.28648,8.12787
119,0.0186647,0.187502,0,0,1.29158,4.10759
120,0.018296,0.179597,0.934819,0.927982,1.31675,23.2896
121,0.0179291,0.195213,0,0,1.3226,4.95748
122,0.017564,0.188907,0,0,1.32859,4.12087
123,0.0172009,0.172135,0,0,1.33466,4.18595
124,0.0168399,0.181178,0,0,1.33959,2.95756
125,0.0164809,0.187272,0,0,1.34763,6.15935
126,0.0161243,0.178728,0,0,1.35458,3.09606
127,0.0157699,0.175248,0,0,1.36173,4.25222
128,0.0154179,0.175538,0,0,1.3682,4.27946
129,0.0150684,0.186175,0,0,1.37619,6.59412
130,0.0147215,0.182114,0.935796,0.928896,1.40258,24.1097
131,0.0143772,0.182763,0,0,1.41458,8.10373
132,0.0140357,0.175856,0,0,1.42666,8.17972
133,0.013697,0.188619,0,0,1.43858,8.10193
134,0.0133613,0.163839,0,0,1.45066,8.18395
135,0.0130285,0.183841,0,0,1.46459,10.117
136,0.0126988,0.173309,0,0,1.47095,4.47378
137,0.0123722,0.177047,0,0,1.4746,2.11894
138,0.0120489,0.169459,0,0,1.48114,4.66161
139,0.011729,0.186251,0,0,1.4906,5.07071
140,0.0114124,0.17557,0.935811,0.928912,1.526,33.5216
141,0.0110993,0.191641,0,0,1.53859,8.10621
142,0.0107897,0.171534,0,0,1.55087,8.4005
143,0.0104838,0.179535,0,0,1.55662,3.13524
144,0.0101816,0.170979,0,0,1.56257,4.10716
145,0.00988311,0.184582,0,0,1.57358,5.10034
146,0.00958852,0.185039,0,0,1.58058,5.1075
147,0.00929786,0.185756,0,0,1.58809,4.60571
148,0.00901119,0.190807,0,0,1.60068,8.18735
149,0.0087286,0.205723,0,0,1.61238,9.48641
150,0.00845014,0.180536,0.935074,0.928204,1.64926,34.4044
151,0.00817588,0.185085,0,0,1.66121,8.96723
152,0.00790591,0.178971,0,0,1.66624,3.14121
153,0.00764027,0.181943,0,0,1.6708,3.49387
154,0.00737904,0.168372,0,0,1.67859,4.57394
155,0.00712228,0.179021,0,0,1.6843,2.67275
156,0.00687005,0.185695,0,0,1.69058,4.47229
157,0.00662242,0.159522,0,0,1.69859,6.11403
158,0.00637945,0.169588,0,0,1.70359,2.98641
159,0.0061412,0.188856,0,0,1.71261,7.27788
160,0.00590773,0.1647,0.93532,0.928419,1.74104,27.5729
161,0.00567908,0.18107,0,0,1.7544,9.92025
162,0.00545533,0.179732,0,0,1.76157,4.46356
163,0.00523653,0.181579,0,0,1.76657,4.09575
164,0.00502272,0.172662,0,0,1.77331,4.83041
165,0.00481396,0.19212,0,0,1.77958,5.10565
166,0.00461031,0.166903,0,0,1.78658,5.10301
167,0.00441182,0.170689,0,0,1.79262,4.143
168,0.00421853,0.18022,0,0,1.79887,4.40056
169,0.00403049,0.16712,0,0,1.80558,4.05528
170,0.00384774,0.170363,0.935579,0.928663,1.83203,24.5548
171,0.00367034,0.181316,0,0,1.83784,4.36479
172,0.00349833,0.180589,0,0,1.84382,4.33475
173,0.00333174,0.17676,0,0,1.85164,3.71207
174,0.00317062,0.168038,0,0,1.8596,4.13873
175,0.00301501,0.180149,0,0,1.86558,2.21074
176,0.00286495,0.173914,0,0,1.87357,6.07762
177,0.00272047,0.179306,0,0,1.88012,4.58348
178,0.00258162,0.186538,0,0,1.88563,4.15208
179,0.00244842,0.174819,0,0,1.89158,3.21711
180,0.00232091,0.163102,0.935755,0.928843,1.91954,26.0655
181,0.00219911,0.180027,0,0,1.92659,5.69326
182,0.00208307,0.172978,0,0,1.93463,6.15993
183,0.0019728,0.18791,0,0,1.94257,4.11336
184,0.00186834,0.170991,0,0,1.95187,5.31949
185,0.00176971,0.181395,0,0,1.96391,5.43732
186,0.00167694,0.183847,0,0,1.97267,6.57885
187,0.00159004,0.167264,0,0,1.98097,4.63161
188,0.00150904,0.177806,0,0,1.98915,6.67441
189,0.00143396,0.179885,0,0,1.99863,8.10504
190,0.00136482,0.180851,0.935699,0.928793,2.03252,33.0377
191,0.00130164,0.171872,0,0,2.03992,7.37907
192,0.00124442,0.163168,0,0,2.04737,5.89251
193,0.00119319,0.166468,0,0,2.06359,9.1031
194,0.00114796,0.16652,0,0,2.07161,5.13985
195,0.00110873,0.190371,0,0,2.07761,4.13301
196,0.00107552,0.18398,0,0,2.08423,4.37744
197,0.00104835,0.172839,0,0,2.09561,5.12728
198,0.0010272,0.178938,0,0,2.10761,7.2778
199,0.00101209,0.178996,0,0,2.11758,8.10917
200,0.00100302,0.165506,0.935706,0.928797,2.14806,27.5819
train_ms,2159.47
accuracy,0.935796
macro_f1,0.928896
train_gflops,3.87581
