g++ -O2 -std=c++20 -fopenmp -o bin/openmp src/openmp.cpp -lm
Built: openmp
=== Network IDS: OpenMP (8 threads) ===
Train: 1764525 | Test: 756226 | Features: 52 | Classes: 7
  SVM(0v1) Epoch 1/200 | Errors: 212/7744
  SVM(0v1) Epoch 2/200 | Errors: 78/7744
  SVM(0v1) Epoch 3/200 | Errors: 40/7744
  SVM(0v1) Epoch 4/200 | Errors: 28/7744
  SVM(0v1) Epoch 5/200 | Errors: 36/7744
  SVM(0v1) Epoch 6/200 | Errors: 28/7744
  SVM(0v1) Epoch 7/200 | Errors: 36/7744
  SVM(0v1) Epoch 8/200 | Errors: 26/7744
  SVM(0v1) Epoch 9/200 | Errors: 28/7744
  SVM(0v1) Epoch 10/200 | Errors: 34/7744
  SVM(0v1) Epoch 11/200 | Errors: 32/7744
  SVM(0v1) Epoch 12/200 | Errors: 22/7744
  SVM(0v1) Epoch 13/200 | Errors: 8/7744
  SVM(0v1) Epoch 14/200 | Errors: 2/7744
  SVM(0v1) Epoch 15/200 | Errors: 12/7744
  SVM(0v1) Epoch 16/200 | Errors: 92/7744
  SVM(0v1) Epoch 17/200 | Errors: 202/7744
  SVM(0v1) Epoch 18/200 | Errors: 214/7744
  SVM(0v1) Epoch 19/200 | Errors: 186/7744
  SVM(0v1) Epoch 20/200 | Errors: 164/7744
  SVM(0v1) Epoch 21/200 | Errors: 94/7744
  SVM(0v1) Epoch 22/200 | Errors: 82/7744
  SVM(0v1) Epoch 23/200 | Errors: 130/7744
  SVM(0v1) Epoch 24/200 | Errors: 166/7744
  SVM(0v1) Epoch 25/200 | Errors: 164/7744
  SVM(0v1) Epoch 26/200 | Errors: 144/7744
  SVM(0v1) Epoch 27/200 | Errors: 86/7744
  SVM(0v1) Epoch 28/200 | Errors: 54/7744
  SVM(0v1) Epoch 29/200 | Errors: 36/7744
  SVM(0v1) Epoch 30/200 | Errors: 24/7744
  SVM(0v1) Epoch 31/200 | Errors: 24/7744
  SVM(0v1) Epoch 32/200 | Errors: 18/7744
  SVM(0v1) Epoch 33/200 | Errors: 6/7744
  SVM(0v1) Epoch 34/200 | Errors: 6/7744
  SVM(0v1) Epoch 35/200 | Errors: 2/7744
  SVM(0v1) Epoch 36/200 | Errors: 0/7744
  SVM(0v2) Epoch 1/200 | Errors: 78/10000
  SVM(0v2) Epoch 2/200 | Errors: 10/10000
  SVM(0v2) Epoch 3/200 | Errors: 8/10000
  SVM(0v2) Epoch 4/200 | Errors: 22/10000
  SVM(0v2) Epoch 5/200 | Errors: 18/10000
  SVM(0v2) Epoch 6/200 | Errors: 20/10000
  SVM(0v2) Epoch 7/200 | Errors: 18/10000
  SVM(0v2) Epoch 8/200 | Errors: 18/10000
  SVM(0v2) Epoch 9/200 | Errors: 18/10000
  SVM(0v2) Epoch 10/200 | Errors: 18/10000
  SVM(0v2) Epoch 11/200 | Errors: 14/10000
  SVM(0v2) Epoch 12/200 | Errors: 14/10000
  SVM(0v2) Epoch 13/200 | Errors: 12/10000
  SVM(0v2) Epoch 14/200 | Errors: 12/10000
  SVM(0v2) Epoch 15/200 | Errors: 12/10000
  SVM(0v2) Epoch 16/200 | Errors: 10/10000
  SVM(0v2) Epoch 17/200 | Errors: 10/10000
  SVM(0v2) Epoch 18/200 | Errors: 10/10000
  SVM(0v2) Epoch 19/200 | Errors: 10/10000
  SVM(0v2) Epoch 20/200 | Errors: 4/10000
  SVM(0v2) Epoch 21/200 | Errors: 4/10000
  SVM(0v2) Epoch 22/200 | Errors: 4/10000
  SVM(0v2) Epoch 23/200 | Errors: 4/10000
  SVM(0v2) Epoch 24/200 | Errors: 2/10000
  SVM(0v2) Epoch 25/200 | Errors: 2/10000
  SVM(0v2) Epoch 26/200 | Errors: 2/10000
  SVM(0v2) Epoch 27/200 | Errors: 2/10000
  SVM(0v2) Epoch 28/200 | Errors: 2/10000
  SVM(0v2) Epoch 29/200 | Errors: 2/10000
  SVM(0v2) Epoch 30/200 | Errors: 2/10000
  SVM(0v2) Epoch 31/200 | Errors: 2/10000
  SVM(0v2) Epoch 32/200 | Errors: 2/10000
  SVM(0v2) Epoch 33/200 | Errors: 2/10000
  SVM(0v2) Epoch 34/200 | Errors: 2/10000
  SVM(0v2) Epoch 35/200 | Errors: 0/10000
  SVM(0v3) Epoch 1/200 | Errors: 81/10000
  SVM(0v3) Epoch 2/200 | Errors: 26/10000
  SVM(0v3) Epoch 3/200 | Errors: 18/10000
  SVM(0v3) Epoch 4/200 | Errors: 24/10000
  SVM(0v3) Epoch 5/200 | Errors: 28/10000
  SVM(0v3) Epoch 6/200 | Errors: 8/10000
  SVM(0v3) Epoch 7/200 | Errors: 4/10000
  SVM(0v3) Epoch 8/200 | Errors: 4/10000
  SVM(0v3) Epoch 9/200 | Errors: 10/10000
  SVM(0v3) Epoch 10/200 | Errors: 4/10000
  SVM(0v3) Epoch 11/200 | Errors: 4/10000
  SVM(0v3) Epoch 12/200 | Errors: 10/10000
  SVM(0v3) Epoch 13/200 | Errors: 4/10000
  SVM(0v3) Epoch 14/200 | Errors: 4/10000
  SVM(0v3) Epoch 15/200 | Errors: 10/10000
  SVM(0v3) Epoch 16/200 | Errors: 4/10000
  SVM(0v3) Epoch 17/200 | Errors: 4/10000
  SVM(0v3) Epoch 18/200 | Errors: 10/10000
  SVM(0v3) Epoch 19/200 | Errors: 4/10000
  SVM(0v3) Epoch 20/200 | Errors: 4/10000
  SVM(0v3) Epoch 21/200 | Errors: 10/10000
  SVM(0v3) Epoch 22/200 | Errors: 4/10000
  SVM(0v3) Epoch 23/200 | Errors: 4/10000
  SVM(0v3) Epoch 24/200 | Errors: 10/10000
  SVM(0v3) Epoch 25/200 | Errors: 2/10000
  SVM(0v3) Epoch 26/200 | Errors: 2/10000
  SVM(0v3) Epoch 27/200 | Errors: 2/10000
  SVM(0v3) Epoch 28/200 | Errors: 2/10000
  SVM(0v3) Epoch 29/200 | Errors: 2/10000
  SVM(0v3) Epoch 30/200 | Errors: 2/10000
  SVM(0v3) Epoch 31/200 | Errors: 2/10000
  SVM(0v3) Epoch 32/200 | Errors: 2/10000
  SVM(0v3) Epoch 33/200 | Errors: 2/10000
  SVM(0v3) Epoch 34/200 | Errors: 2/10000
  SVM(0v3) Epoch 35/200 | Errors: 2/10000
  SVM(0v3) Epoch 36/200 | Errors: 2/10000
  SVM(0v3) Epoch 37/200 | Errors: 2/10000
  SVM(0v3) Epoch 38/200 | Errors: 2/10000
  SVM(0v3) Epoch 39/200 | Errors: 2/10000
  SVM(0v3) Epoch 40/200 | Errors: 2/10000
  SVM(0v3) Epoch 41/200 | Errors: 2/10000
  SVM(0v3) Epoch 42/200 | Errors: 2/10000
  SVM(0v3) Epoch 43/200 | Errors: 2/10000
  SVM(0v3) Epoch 44/200 | Errors: 2/10000
  SVM(0v3) Epoch 45/200 | Errors: 2/10000
  SVM(0v3) Epoch 46/200 | Errors: 2/10000
  SVM(0v3) Epoch 47/200 | Errors: 2/10000
  SVM(0v3) Epoch 48/200 | Errors: 2/10000
  SVM(0v3) Epoch 49/200 | Errors: 2/10000
  SVM(0v3) Epoch 50/200 | Errors: 2/10000
  SVM(0v3) Epoch 51/200 | Errors: 2/10000
